ts,p0,p1,p2,p3
1.0741340,0.4457711,15.4903059,22.1960362,30.2046532
1.0841010,1.9966343,15.5364583,22.1183894,29.8852163
1.0930630,4.4426048,17.7307169,22.0044686,30.0650865
1.1129960,7.0349540,16.9611706,22.1140015,29.5275440
1.1409210,9.3955879,23.0736488,30.3231043,40.3040982
1.1728340,11.4294619,22.9417761,30.2038816,40.2281906
1.2197070,12.9143947,23.0158141,30.6153846,40.6083561
1.2526190,14.0796997,44.4248053,54.9520671,64.4657480
1.2835340,15.5712452,45.7184798,55.3850794,64.3241504
1.3154490,17.4471844,58.1413217,66.5569268,77.2906051
1.3483590,19.6426369,70.5502421,80.4856739,89.4945521
1.3792770,22.0721782,74.5075651,81.3334678,90.4704458
1.4121880,24.3569505,89.1433595,94.5492346,105.0115846
1.4441010,26.4286149,100.5543192,107.2818127,113.8391665
1.4760140,28.1716496,103.0162338,107.0415990,112.8855519
1.5099230,29.2350726,118.4823718,120.5208333,127.8996394
1.5418370,29.7186617,132.6691852,133.8895242,138.4163774
1.5687650,29.7106503,132.5250660,133.4822407,137.4158717
1.6206250,28.9866967,145.8360757,145.5433978,149.7568902
1.6525380,27.5659172,151.7254824,151.1925602,152.5297394
1.6804630,25.4054492,152.5586009,150.6170996,152.0204541
1.7163660,22.3059242,158.6589470,155.5118765,158.3861837
1.7492770,18.3981803,163.8402569,161.4138069,160.3190849
1.7801940,13.9436271,164.7787166,161.5662844,159.8966003
1.8121070,9.1060147,170.6288306,166.0415323,163.3181452
1.8440210,4.1370458,174.0787720,169.4694001,164.5526156
1.8769350,-0.7384909,174.0618146,169.6833500,163.4265204
1.9088460,-5.3892846,179.0390254,173.8809429,167.7700079
1.9397640,-9.6937029,179.4970000,173.0712000,165.5910000
1.9736710,-13.6428771,180.5702314,173.5113727,166.1929370
2.0205450,-17.1705775,185.5083821,178.1446172,169.3443749
2.0484690,-20.1204749,185.9255106,177.9793753,168.5220264
2.0843730,-22.5020298,186.1913876,178.2179027,167.5578150
2.1152890,-24.4076751,186.5814734,178.7618013,168.2462967
2.1482010,-25.8056529,191.5700339,182.9711098,171.3913130
2.1801140,-26.6189567,192.0047497,182.9893133,171.6441718
2.2120290,-26.9111061,192.6725331,183.6274471,170.6278426
2.2439700,-26.8293237,192.6495930,183.3347230,171.0704785
2.2718660,-26.4934131,194.1941442,183.6633916,171.0182747
2.3077700,-25.9757297,195.1184082,183.9000196,170.4961772
2.3396830,-25.2411095,199.2041864,187.4115324,174.2067536
2.3715970,-24.2067871,199.3775771,187.5752994,173.3548007
2.4194680,-22.9185345,199.5788129,187.2313286,173.9640330
2.4533770,-21.5030772,199.9536801,187.3501472,172.9913641
2.4852900,-20.0277790,200.0877368,187.9892323,172.7790628
2.5122170,-18.5269427,200.4592943,187.4906367,171.7762665
2.5491180,-17.0530196,200.2772844,187.0434182,170.6388396
2.5810320,-15.6318881,200.8717340,187.5516627,170.9378464
2.7735170,-14.1923701,203.8551383,189.8905138,172.9545455
2.7814950,-12.6563926,204.3957209,189.2807439,172.7246551
2.7894740,-11.0519982,204.6400079,189.6449447,172.1781201
2.7994470,-9.4411908,204.7189569,189.5879639,171.4740221
2.8084500,-7.8832274,204.9222441,188.8866142,171.4738189
2.8173990,-6.4402168,205.1385848,188.8139171,170.5846364
2.8463210,-5.1397129,204.5938796,188.4465943,169.4896347
2.8782340,-3.9730273,205.3491491,188.8626627,169.7525526
2.9081550,-2.9108017,206.7305259,188.7584025,169.6888098
2.9390700,-1.9301808,206.8094287,188.8965242,169.1374351
2.9709840,-1.0105433,207.6651503,189.3324763,169.0876187
3.0028980,-0.1316861,207.5455815,189.4179134,168.1932974
3.0348110,0.6939428,207.5255518,188.9646053,167.5426526
3.0667250,1.4379402,208.2974931,189.1831179,167.3446925
3.0976680,2.0883328,208.5127496,188.9656059,167.4411939
3.1275610,2.6322485,209.1099760,188.6464343,165.8291266
3.1594750,3.0623693,208.8598388,188.8448988,165.5462945
3.1883970,3.3980373,209.0328032,189.0385686,165.1081511
3.2452430,3.6480381,209.3796590,188.3727201,165.0089215
3.2831410,3.8051061,210.4406275,188.6382049,165.3884035
3.3150550,3.8836761,210.4694238,188.5956488,163.6646413
3.3459980,3.8976427,210.0108140,188.2662210,163.1228864
3.3619280,3.8670889,210.8954581,189.2265074,163.8543461
3.3928710,3.8401562,211.0720792,189.6106931,163.1118812
3.4137880,3.8332525,211.5257235,189.4409164,163.5840032
3.4427100,3.8198760,211.2212121,189.5460606,163.2822222
3.4766190,3.7840909,211.1816901,189.9482897,163.5271630
3.5085320,3.7146127,211.0058070,189.5364437,163.4885863
3.5364570,3.5969487,211.3337393,190.0927730,163.5186764
3.5733570,3.4447189,211.5209274,190.5196963,164.2554370
3.6172390,3.2823320,211.4288948,190.9302326,164.5178020
3.6531420,3.0996327,211.2433927,190.2843680,164.5406679
3.6850550,2.8721682,211.6101521,190.8401151,164.5616523
3.7179670,2.6179115,211.6972608,191.4670891,164.6306214
3.7468890,2.3713248,212.4268217,191.7234793,165.3300810
3.7817950,2.1463011,212.6590909,192.3042588,166.6814087
3.8127110,1.9634790,212.5023609,193.3508520,167.4483679
3.8446250,1.8343203,213.1428863,193.3757910,167.4609104
4.0341130,1.7398237,213.7128489,194.0985222,168.1196634
4.0420920,1.6687341,213.9225833,194.8081143,168.7408404
4.0500700,1.6214507,213.7216815,195.4709049,169.5235038
4.0600440,1.5777132,214.0768610,195.4803308,170.2237240
4.0680210,1.4953685,213.9728206,195.5077512,170.4453392
4.0850270,1.3587456,214.6801561,196.5008217,170.8855793
4.1009330,1.1865526,215.0109756,196.5983740,171.2528455
4.1189150,0.9775887,215.1679704,196.5804858,171.5146151
4.1488040,0.7299937,215.1861691,197.3003448,171.8527682
4.1807180,0.4501052,214.7945317,196.6408896,171.5711079
4.2126310,0.1288374,214.4729426,196.9538493,171.4704921
4.2465400,-0.2249296,215.1078990,196.9210098,171.6927932
4.2774560,-0.5984504,214.5306867,196.4585781,170.8916346
4.3103680,-1.0052482,214.5778905,195.6687627,171.1310345
4.3412840,-1.4263771,214.2746093,196.7351329,170.3273797
4.3682110,-1.7990057,214.0219404,196.4287440,169.1594203
4.4190740,-2.1012575,213.4640431,196.0361566,168.5383540
4.4519850,-2.3544716,212.5874384,195.5515189,167.5047209
4.4858930,-2.5732862,212.6205375,195.2769755,167.8433614
4.5198020,-2.7593390,213.0962352,194.9506745,168.1161667
4.5507400,-2.9152958,212.9513124,194.3249850,167.8555400
4.5826630,-3.0414362,213.0604040,194.2989899,168.6694949
4.6165410,-3.1296507,212.9607172,193.6730459,167.0656728
4.6454630,-3.1953928,212.8744485,192.5840353,166.7051745
4.6783740,-3.2387190,212.7723232,193.3777778,165.7208081
4.7082930,-3.2068989,212.4665605,193.3746019,165.5447850
4.7412040,-3.0851510,211.7568548,192.4439516,164.3909274
4.7741160,-2.8966337,212.2934156,193.0278496,165.4794112
4.8209900,-2.6713974,211.3490547,191.1383085,164.9799005
4.8529020,-2.4424930,212.0109846,192.2095067,165.7421610
4.8878080,-2.1842074,212.3663802,192.1678993,167.1471117
4.9147350,-1.8845990,211.8282184,191.3880032,166.3170586
4.9496410,-1.5771418,211.4960245,191.5102956,166.2774720
4.9845460,-1.2585723,210.5494750,191.9499192,165.6195477
5.0124720,-0.9065567,210.7928783,192.0682493,166.2977250
5.0473770,-0.5421931,210.9539143,191.1658281,166.2312336
5.0782940,-0.2084041,211.7593561,191.4672032,165.8454728
5.1102080,0.0834853,211.8849756,191.1915717,165.4165309
5.1401270,0.3309003,211.2640562,191.0148594,164.6473896
5.1720410,0.5419770,210.6239620,191.5891657,163.7933966
5.2209090,0.7446315,211.1397718,191.6257131,163.9325591
5.2568120,0.9519157,210.0716467,191.8866273,163.0962752
5.2847360,1.1822810,210.4503271,192.9922322,163.8387163
5.3186450,1.4630215,210.3923140,193.3732018,164.3865598
5.3525540,1.8015190,211.2169581,194.5258235,164.7425783
5.3804780,2.1899746,211.2855672,195.0265596,165.2408894
5.4143860,2.5893196,210.8447572,195.1640147,165.2180743
5.4443060,2.9320759,211.3082769,195.1289793,165.4834668
5.4772170,3.1666001,211.4391197,195.4529000,165.9588647
5.5141460,3.2679308,211.5759348,195.2786714,165.8479215
5.5390500,3.2251956,211.6824584,195.3740930,165.9692702
5.5749530,3.0421018,211.8689465,195.1537808,166.8060748
5.6208300,2.7511686,211.9143469,195.9023555,167.0289079
5.6527430,2.3861142,211.0053298,194.9080613,165.8949589
5.6846570,1.9627279,211.2154155,195.5379817,166.5711740
5.7215570,1.5147327,211.4291240,195.2734926,166.7995449
5.7504790,1.0799499,211.3577793,195.6040667,166.5092529
5.7823930,0.6866172,212.1577602,195.7063197,166.3863848
5.8113150,0.3620562,212.1954291,196.1979944,166.9941698
5.8462200,0.1151355,211.9658278,195.9956130,166.4802586
5.8771390,-0.0689126,211.7298677,196.1598979,166.7321884
5.9090510,-0.2103144,212.3150935,196.0611035,167.3312813
5.9429600,-0.3171899,212.2077801,196.5504309,167.2571628
5.9748730,-0.3765976,212.7127782,197.1757284,167.8435421
6.0187540,-0.3741329,213.3509684,197.5115730,168.0739254
6.0536600,-0.3098238,213.3615845,198.2422847,168.1973745
6.0855960,-0.2057969,213.1925994,197.8338313,167.7090324
6.1184850,-0.1155740,213.2522357,197.6911259,167.9085072
6.1523940,-0.1579805,209.4790433,193.9054670,165.3489749
6.1823130,-0.4542669,209.3546406,193.9106005,165.0370792
6.2142270,-0.9724776,209.1703620,193.3873303,164.5708145
